Ref,Val,Package,PosX,PosY,Rot,Side
"R6","RC0603JR-0710KL","R_0603_1608Metric",56.190000,-113.805000,270.000000,top
"R9","RC0603JR-0710KL","R_0603_1608Metric",78.100000,-113.670000,270.000000,top
